symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
TTSH,"Tile Shop Holdings, Inc.",United States,NCM,USD,,44715001.0,4393.0,164722080.0
GABK,Grand Bank Corporation,,,,,,9116.0,
CDNL,Cardinal Infrastructure Group Inc.,United States,NMS,USD,,14943750.0,10992.0,905391552.0
EPAZ,"Epazz, Inc.",,,,,15859266.0,20314.0,800892.0
VCIG,VCI Global Limited,Malaysia,NCM,USD,,6543598.0,23620.0,4181359.0
IVCAF,Investcorp AI Acquisition Corp.,,,,,6494771.0,26044.0,77937264.0
SMX,SMX (Security Matters) Public Limited Company,Ireland,NCM,USD,,8700342.0,34625.0,1012806848.0
SMXWW,SMX (Security Matters) Public Limited Company,Ireland,NCM,USD,,,34625.0,
JDZG,JIADE Limited,China,NCM,USD,,2317123.0,38337.0,2863808.0
MAQCW,,,,,,,64362.0,
NEN,New England Realty Associates Limited Partnership,United States,ASE,USD,,2822424.0,64948.0,223305984.0
MNPP,"Merchants' National Properties, Inc.",,,,,90879.0,69222.0,184486400.0
GVH,Globavend Holdings Limited,AU,NASDAQ NMS - GLOBAL MARKET,USD,2023-11-08,1526113.0,72188.0,3967893.0
GTEH,"GenTech Holdings, Inc.",,,,,6098893.0,77113.0,1830.0
GDHG,Golden Heaven Group Holdings Ltd.,China,NCM,USD,,2460492.0,89436.0,6203562.0
JWSUF,Jaws Mustang Acquisition Corp.,,,,,,89577.0,
OST,"Ostin Technology Group Co., Ltd.",,,,,5297200.0,99434.0,8978754.0
RUBI,Rubico Inc.,Marshall Islands,NCM,USD,,2456113.0,101546.0,2996458.0
LVPA,Lvpai Group Limited,,,,,100103103.0,103106.0,101104136.0
WOK,WORK Medical Technology Group LTD,China,NCM,USD,,960012.0,128312.0,30576.0
DIT,AMCON Distributing Company,United States,ASE,USD,,650709.0,166406.0,68324448.0
BH,Biglari Holdings Inc.,United States,NYQ,USD,,2068640.0,181976.0,1103412608.0
SPHL,Springview Holdings Ltd,Singapore,NCM,USD,,1652204.0,187461.0,3882679.0
EZGO,EZGO Technologies Ltd.,CN,NASDAQ NMS - GLOBAL MARKET,USD,2021-01-26,868029.0,202745.0,1692656.0
JXG,JX Luxventure Group Inc.,China,NCM,USD,,1206262.0,204508.0,9806918.0
WTO,UTime Limited,China,NCM,USD,,1944191.0,209829.0,1234561.0
SVRN,OceanPal Inc.,Greece,NCM,USD,,34300471.0,216478.0,34986480.0
BON,Bon Natural Life Limited,China,NCM,USD,,6086971.0,217703.0,16374745.0
LDSVF,Chocoladefabriken Lindt & Sprüngli AG,,,,,969010.0,225200.0,33591222272.0
CHSN,Chanson International Holding,China,NCM,USD,,38907905.0,231770.0,81465648.0
SEB,Seaboard Corporation,United States,ASE,USD,,957951.0,245446.0,4190718464.0
SLGL,Sol-Gel Technologies Ltd.,Israel,NCM,USD,,2785787.0,304821.0,116585184.0
KXIN,Kaixin Holdings,China,NCM,USD,,738607.0,308248.0,5451642.0
ATEKW,,,,,,,310137.0,
CLRRF,ClimateRock,,,,,,311538.0,
CLRCF,ClimateRock,,,,,2535300.0,311538.0,30677252.0
SPRC,SciSparc Ltd.,Israel,NCM,USD,,3288998.0,332674.0,4834827.0
AIFM,"AIFarm, Ltd.",,,,,676827.0,336000.0,2030.0
IPW,iPower Inc.,United States,NCM,USD,,1049832.0,341699.0,10183380.0
ASCWF,,,,,,,343593.0,
ASCRF,A SPAC II Acquisition Corp.,,,,,,343593.0,
DWTX,"Dogwood Therapeutics, Inc.",United States,NCM,USD,,29727866.0,358031.0,120992416.0
SEELQ,"Seelos Therapeutics, Inc.",,,,,581000.0,359026.0,
TWG,Top Wealth Group Holding Limited,Hong Kong,NCM,USD,,1300029.0,360581.0,5945441.0
VIIQ,,,,,,,369923.0,
CETXP,"Cemtrex, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2001-06-21,1486740.0,378546.0,957774.0
CETX,"Cemtrex, Inc.",United States,NCM,USD,,6911663.0,378546.0,15758594.0
CZOOF,Cazoo Group Ltd,,,,,4898984.0,380273.0,979.0
YAAS,Youxin Technology Ltd,China,NCM,USD,,3967877.0,382269.0,6853884.0
PLUT,Plutus Financial Group Limited,HK,NASDAQ NMS - GLOBAL MARKET,HKD,2025-02-05,15350000.0,386053.0,52190000.0
CLRO,"ClearOne, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,1989-03-03,2237912.0,387830.0,11928071.0
LTSSF,Lotus Bakeries NV,BE,NYSE EURONEXT - EURONEXT BRUSSELS,EUR,1988-12-20,812053.0,404199.0,7721358848.0
HWH,HWH International Inc.,United States,NCM,USD,,6476400.0,409049.0,9649836.0
ATMCW,AlphaTime Acquisition Corp,United States,NCM,USD,,,417448.0,
ATMCU,AlphaTime Acquisition Corp,United States,NCM,USD,,,417448.0,
ATMCR,AlphaTime Acquisition Corp,United States,NCM,USD,,,417448.0,
ATMC,AlphaTime Acquisition Corp,US,NASDAQ NMS - GLOBAL MARKET,USD,2022-12-30,2551636.0,417448.0,38019392.0
NCEW,New Century Logistics (BVI) Limited,Hong Kong,NCM,USD,,2687500.0,418739.0,15023125.0
NIVFW,NewGenIvf Group Limited,Thailand,NCM,USD,,,429967.0,
NIVF,NewGenIvf Group Limited,Thailand,NCM,USD,,1317135.0,429967.0,1055814.0
WNW,Meiwu Technology Company Limited,CN,NASDAQ NMS - GLOBAL MARKET,USD,2020-12-15,15643353.0,432609.0,23465030.0
BYNOW,byNordic Acquisition Corporatio,,,,,,436727.0,
BYNOU,byNordic Acquisition Corporation,,,,,,436727.0,
FCODF,Compagnie de l'Odet,,,,,4215071.0,455969.0,6597176320.0
WAI,Top KingWin Ltd,China,NCM,USD,,1665135.0,457212.0,3696693.0
TETUF,Technology & Telecommunication Acquisition Corporation,,,,,,466922.0,
RJET,Republic Airways Holdings Inc.,United States,NMS,USD,,46900000.0,480120.0,925336960.0
MAYS,"J.W. Mays, Inc.",United States,NCM,USD,,2015780.0,493423.0,79202216.0
SUGP,SU Group Holdings Limited,,,,,563092.0,504028.0,9799331.0
YHGJ,Yunhong Green CTI Ltd.,United States,NCM,USD,,2773863.0,504899.0,10485206.0
BDMDW,Baird Medical Investment Holdings Limited,China,NCM,USD,,,505026.0,
BDMD,Baird Medical Investment Holdings Limited,China,NCM,USD,,36725899.0,505026.0,51416260.0
RTCJF,Baijiayun Group Ltd,CN,NASDAQ NMS - GLOBAL MARKET,USD,2006-11-24,23402800.0,522297.0,29357564.0
FORLU,Four Leaf Acquisition Corporation,US,NASDAQ NMS - GLOBAL MARKET,USD,2023-03-17,,522344.0,27.0
FGI,FGI Industries Ltd.,United States,NCM,USD,,1920140.0,523257.0,12346500.0
FGIWW,FGI Industries Ltd.,,,,,,523257.0,
CHNR,"China Natural Resources, Inc.",China,NCM,USD,,1233382.0,523379.0,4316837.0
MFI,mF International Limited,Hong Kong,NCM,USD,,50525597.0,525594.0,951512000.0
EMPG,Empro Group Inc.,Malaysia,NCM,USD,,8240000.0,527760.0,143046400.0
DFSC,DEFSEC Technologies Inc.,Canada,NCM,USD,,1993626.0,530373.0,3628399.0
DFSCW,DEFSEC Technologies Inc.,,,,,,530373.0,
IMAQW,,,,,,,539681.0,
LGCB,Linkage Global Inc,Japan,NCM,USD,,10162522.0,545127.0,21208792.0
GLXG,Galaxy Payroll Group Limited,Hong Kong,NCM,USD,,1801500.0,545523.0,4236540.0
JFBRW,Jeffs' Brands Ltd,Israel,NCM,USD,,,545571.0,
JFBR,Jeffs' Brands Ltd,Israel,NCM,USD,,3168809.0,545571.0,2768588.0
BDL,"Flanigan's Enterprises, Inc.",United States,ASE,USD,,1858647.0,553319.0,54978808.0
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",United States,NCM,USD,,0.0,563181.0,4754368.0
WHLR,"Wheeler Real Estate Investment Trust, Inc.",United States,NCM,USD,,1895599.0,563181.0,3544770.0
UPC,Universe Pharmaceuticals INC,China,NCM,USD,,563338.0,563332.0,3165959.0
AEHL,Antelope Enterprise Holdings Limited,China,NCM,USD,,2616577.0,576401.0,6671975.0
CNSP,"CNS Pharmaceuticals, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2019-11-08,620290.0,586248.0,3827189.0
CMCT,Creative Media & Community Trust Corporation,United States,NCM,USD,,947030.0,589626.0,4271105.0
DDI,"DoubleDown Interactive Co., Ltd.",South Korea,NMS,USD,,49553440.0,593130.0,425664064.0
APLM,"Apollomics, Inc.",United States,NCM,USD,,2143348.0,594131.0,42866960.0
ENVB,"Enveric Biosciences, Inc.",United States,NCM,USD,,1023368.0,595468.0,4206042.0
INTG,The InterGroup Corporation,United States,NCM,USD,,2148812.0,600185.0,58619592.0
RBLK,"Related Blocks, Inc.",,,,,595305.0,603412.0,348848.0
MDRR,"Medalist Diversified REIT, Inc.",United States,NCM,USD,,1112405.0,604492.0,13359984.0
BBGI,"Beasley Broadcast Group, Inc.",United States,NCM,USD,,970857.0,613484.0,9074090.0
IOR,"Income Opportunity Realty Investors, Inc.",United States,ASE,USD,,4066178.0,628265.0,71361424.0
JYD,Jayud Global Logistics Limited,China,NCM,USD,,2625676.0,643830.0,11536927.0
HTOO,Fusion Fuel Green PLC,Ireland,NCM,USD,,2013403.0,649865.0,7878043.0
PNRG,PrimeEnergy Resources Corporation,United States,NCM,USD,,1635000.0,650109.0,289630368.0
CLIK,Click Holdings Limited,Hong Kong,NCM,USD,,2935986.0,653496.0,18077202.0
TGL,Treasure Global Inc.,United States,NCM,USD,,1526364.0,654275.0,10699812.0
AKAN,Akanda Corp.,GB,NASDAQ NMS - GLOBAL MARKET,USD,2022-03-15,728289.0,656871.0,327730.0
GYRO,"Gyrodyne, LLC",United States,NCM,USD,,2199308.0,668185.0,20628638.0
ACONW,"Aclarion, Inc.",,,,,,671331.0,
ACON,"Aclarion, Inc.",United States,NCM,USD,,671371.0,671331.0,3618689.0
ELAB,PMGC Holdings Inc.,United States,NCM,USD,,744110.0,675930.0,1153372.0
SPRB,"Spruce Biosciences, Inc.",United States,NCM,USD,,1070370.0,676452.0,91773520.0
CBRRF,Chain Bridge I,,,,,3011881.0,678721.0,74930800.0
GOVB,"Gouverneur Bancorp, Inc.",,,,,1050546.0,695960.0,18041834.0
CNEY,CN Energy Group. Inc.,CN,NASDAQ NMS - GLOBAL MARKET,USD,2021-02-05,4988337.0,696597.0,2983965.0
SQFT,"Presidio Property Trust, Inc.",United States,NCM,USD,,1230601.0,700003.0,4848568.0
SQFTW,"Presidio Property Trust, Inc.",United States,NCM,USD,,,700003.0,
SQFTP,"Presidio Property Trust, Inc.",United States,NCM,USD,,,700003.0,
IXQUF,,,,,,,701035.0,
MNDR,Mobile-health Network Solutions,Singapore,NCM,USD,,2365752.0,723245.0,2949980.0
MTVA,MetaVia Inc.,United States,NCM,USD,,2309090.0,725431.0,21220536.0
CVR,Chicago Rivet & Machine Co.,United States,ASE,USD,,966132.0,737275.0,13274653.0
CISS,C3is Inc.,Greece,NCM,USD,,4418378.0,743251.0,931394.0
VALU,"Value Line, Inc.",United States,NCM,USD,,9389873.0,752974.0,357463072.0
VRM,"Vroom, Inc.",United States,NGM,USD,,5199620.0,756181.0,116991448.0
LICN,Lichen International Limited,China,NCM,USD,,16216825.0,756690.0,48440060.0
AEMD,"Aethlon Medical, Inc.",United States,NCM,USD,,971872.0,756925.0,2487992.0
GWAV,"Greenwave Technology Solutions, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2015-03-03,829631.0,757486.0,4836748.0
AKA,a.k.a. Brands Holding Corp.,US,"NEW YORK STOCK EXCHANGE, INC.",USD,2021-09-22,10739676.0,772075.0,123296136.0
NEGG,"Newegg Commerce, Inc.",United States,NCM,USD,,20966480.0,782495.0,1110804096.0
MIGI,Mawson Infrastructure Group Inc.,United States,NCM,USD,,1143259.0,787077.0,5144670.0
SBDS,"Solo Brands, Inc.",,,,,1647827.0,790759.0,10150614.0
FTEL,Fitell Corporation,Australia,NCM,USD,,2432000.0,793042.0,1775116.0
ALCYU,Alchemy Investments Acquisition Corp 1,United States,NCM,USD,,,795026.0,
ALCY,Alchemy Investments Acquisition Corp 1,United States,NCM,USD,,4208042.0,795026.0,50454448.0
BAYAU,Bayview Acquisition Corp,US,NASDAQ NMS - GLOBAL MARKET,USD,2023-12-15,,801677.0,40.0
BAYA,Bayview Acquisition Corp,,,,,3466262.0,801677.0,40728580.0
NCSM,"NCS Multistage Holdings, Inc.",United States,NCM,USD,,2540920.0,803769.0,102678576.0
MTEX,"Mannatech, Incorporated",US,NASDAQ NMS - GLOBAL MARKET,USD,1999-02-16,1900930.0,815005.0,14561131.0
SSBP,"SSB Bancorp, Inc.",,,,,2187602.0,824332.0,27327524.0
DRMA,"Dermata Therapeutics, Inc.",United States,NCM,USD,,1026457.0,828926.0,1909210.0
DRMAW,"Dermata Therapeutics, Inc.",United States,NCM,USD,,,828926.0,
ESHA,ESH Acquisition Corp.,United States,NCM,USD,,3892381.0,829763.0,47609048.0
RNAZ,"TransCode Therapeutics, Inc.",United States,NCM,USD,,916968.0,832424.0,6382104.0
BOXL,Boxlight Corporation,United States,NCM,USD,,951873.0,833812.0,2084604.0
MXC,Mexco Energy Corporation,United States,ASE,USD,,2046000.0,839146.0,21836140.0
GDSTW,Goldenstone Acquisition Limited,,,,,,839238.0,
GCTK,"GlucoTrack, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2013-04-09,910688.0,853761.0,3824893.0
SNSE,"Sensei Biotherapeutics, Inc.",US,NASDAQ NMS - GLOBAL MARKET,USD,2021-02-04,1261290.0,854373.0,11351619.0
PLUR,Pluri Inc.,Israel,NCM,USD,,9253897.0,867368.0,28779618.0
LIVE,Live Ventures Incorporated,United States,NCM,USD,,3071656.0,867804.0,48225016.0
AIRTP,"Air T, Inc.",United States,NGM,USD,,3044420.0,888276.0,473350816.0
AIRT,"Air T, Inc.",United States,NCM,USD,,2702639.0,888276.0,52025820.0
FTII,FutureTech II Acquisition Corp.,,,,,4289961.0,894886.0,51565332.0
PLRZ,Polyrizon Ltd.,Israel,NCM,USD,,1041677.0,900364.0,8479251.0
BLMZF,Harrison Global Holdings Inc.,,,,,1465093.0,916988.0,32232.0
SSM,Sono Group N.V.,Germany,NCM,USD,,1424408.0,922899.0,9928687.0
CRTWF,,,,,,,927580.0,
NYC,American Strategic Investment Co.,US,"NEW YORK STOCK EXCHANGE, INC.",USD,2020-05-28,2672943.0,928286.0,22345802.0
BAOS,Baosheng Media Group Holdings Limited,China,NCM,USD,,1534487.0,937633.0,4173804.0
NSYS,Nortech Systems Incorporated,United States,NCM,USD,,2786134.0,938649.0,20589538.0
STG,Sunlands Technology Group,China,NYQ,USD,,5108694.0,955634.0,86377944.0
